order_id,buyer_id,created_at,updated_at,status,currency,total_amount,shipping_fee,tax_total,voucher_amount,campaign_id,influencer_id,market_region
TIK-ORD00000001,TIKC00000043,2025-06-21 17:14:30,2025-07-12 02:45:19,COMPLETED,MYR,1150.0,0,66.0,16,,,MALAYSIA
TIK-ORD00000002,TIKC00000059,2025-07-08 08:14:47,2025-07-18 07:46:22,COMPLETED,MYR,563.4,0,32.4,9,,,MALAYSIA
TIK-ORD00000003,TIKC00000046,2025-04-09 03:33:01,2025-07-26 20:47:47,COMPLETED,MYR,823.8,0,46.8,3,,TIK-INFL009,MALAYSIA
TIK-ORD00000004,TIKC00000009,2025-05-03 09:24:12,2025-06-02 09:40:26,COMPLETED,MYR,616.4,0,35.4,9,,TIK-INFL010,MALAYSIA
TIK-ORD00000005,TIKC00000058,2025-07-26 05:09:42,2025-08-03 02:29:23,CANCELLED,MYR,2626.0,0,150.0,24,,,MALAYSIA
TIK-ORD00000006,TIKC00000049,2025-08-11 14:27:13,2025-08-15 21:35:38,COMPLETED,MYR,569.4,3,32.4,6,TIK-CAMP001,,MALAYSIA
TIK-ORD00000007,TIKC00000004,2025-06-11 16:12:19,2025-06-14 01:57:42,COMPLETED,MYR,1148.0,0,66.0,18,,,MALAYSIA
TIK-ORD00000008,TIKC00000008,2024-11-28 23:57:04,2025-04-07 00:08:38,COMPLETED,MYR,1948.6,0,111.6,23,TIK-CAMP004,,MALAYSIA
TIK-ORD00000009,TIKC00000030,2025-07-25 17:48:13,2025-08-14 17:29:03,SHIPPED,MYR,2006.6,0,114.6,18,,,MALAYSIA
TIK-ORD00000010,TIKC00000020,2025-08-17 00:16:58,2025-08-23 11:42:30,COMPLETED,MYR,548.2,0,31.2,3,,,MALAYSIA
TIK-ORD00000011,TIKC00000059,2025-06-20 19:16:09,2025-08-27 21:21:56,REFUNDED,MYR,1498.8,0,85.8,17,,,MALAYSIA
TIK-ORD00000012,TIKC00000055,2024-12-08 22:55:03,2025-05-06 12:27:53,COMPLETED,MYR,926.8,0,52.8,6,,,MALAYSIA
TIK-ORD00000013,TIKC00000043,2025-04-20 18:11:59,2025-07-21 03:46:27,COMPLETED,MYR,1444.8,0,82.8,18,,,MALAYSIA
TIK-ORD00000014,TIKC00000040,2025-05-26 20:09:41,2025-06-15 05:11:59,COMPLETED,MYR,1853.2,0,106.2,23,TIK-CAMP004,,MALAYSIA
TIK-ORD00000015,TIKC00000059,2025-08-18 06:31:19,2025-08-22 12:22:02,COMPLETED,MYR,341.8,0,19.8,8,,,MALAYSIA
TIK-ORD00000016,TIKC00000017,2025-03-18 01:53:48,2025-08-24 09:52:24,COMPLETED,MYR,882.4,0,50.4,8,,,MALAYSIA
TIK-ORD00000017,TIKC00000006,2025-07-16 02:20:47,2025-07-26 22:04:16,SHIPPED,MYR,1212.6,0,69.6,17,,,MALAYSIA
TIK-ORD00000018,TIKC00000052,2024-09-26 02:32:02,2025-06-09 10:29:20,PAID,MYR,233.2,0,13.2,0,TIK-CAMP003,,MALAYSIA
TIK-ORD00000019,TIKC00000017,2025-02-02 13:24:42,2025-07-07 07:23:01,COMPLETED,MYR,800.6,0,45.6,5,,,MALAYSIA
TIK-ORD00000020,TIKC00000041,2025-06-19 11:43:29,2025-07-16 12:55:00,COMPLETED,MYR,2427.6,0,138.6,21,,,MALAYSIA
TIK-ORD00000021,TIKC00000035,2025-06-21 16:22:18,2025-07-18 18:46:48,COMPLETED,MYR,1307.0,0,75.0,18,,,MALAYSIA
TIK-ORD00000022,TIKC00000047,2025-03-07 17:04:24,2025-07-10 06:35:41,COMPLETED,MYR,1295.4,0,74.4,19,,,MALAYSIA
TIK-ORD00000023,TIKC00000001,2025-07-10 19:57:34,2025-08-18 15:16:39,CANCELLED,MYR,1267.6,0,72.6,15,,,MALAYSIA
TIK-ORD00000024,TIKC00000044,2025-08-27 23:23:04,2025-08-28 23:29:52,COMPLETED,MYR,1387.2,0,79.2,12,,,MALAYSIA
TIK-ORD00000025,TIKC00000001,2025-04-08 06:35:05,2025-04-30 16:06:58,REFUNDED,MYR,1351.8,0,76.8,5,,,MALAYSIA
TIK-ORD00000026,TIKC00000038,2025-03-21 02:26:25,2025-04-24 18:37:35,COMPLETED,MYR,1788.0,0,102.0,14,,,MALAYSIA
TIK-ORD00000027,TIKC00000002,2025-07-06 09:15:33,2025-08-01 03:50:26,COMPLETED,MYR,1144.0,0,66.0,22,,,MALAYSIA
TIK-ORD00000028,TIKC00000038,2024-12-24 12:19:16,2025-02-04 14:42:21,COMPLETED,MYR,1221.2,0,70.2,19,,,MALAYSIA
TIK-ORD00000029,TIKC00000019,2025-07-31 17:32:01,2025-08-21 19:50:13,CANCELLED,MYR,1882.8,11,106.8,15,,,MALAYSIA
TIK-ORD00000030,TIKC00000026,2025-06-13 12:24:10,2025-08-23 06:02:08,COMPLETED,MYR,247.4,0,14.4,7,,,MALAYSIA
TIK-ORD00000031,TIKC00000030,2025-07-26 12:38:21,2025-08-10 18:05:59,COMPLETED,MYR,1513.4,0,86.4,13,,TIK-INFL002,MALAYSIA
TIK-ORD00000032,TIKC00000011,2025-02-27 13:29:26,2025-06-25 06:37:42,COMPLETED,MYR,1352.8,0,76.8,4,,,MALAYSIA
TIK-ORD00000033,TIKC00000030,2025-06-03 03:01:21,2025-06-14 08:29:48,COMPLETED,MYR,297.2,11,16.2,0,,,MALAYSIA
TIK-ORD00000034,TIKC00000054,2025-03-09 19:05:40,2025-06-29 18:11:22,COMPLETED,MYR,1043.0,0,60.0,17,,,MALAYSIA
TIK-ORD00000035,TIKC00000013,2025-03-13 22:42:25,2025-05-02 09:47:59,COMPLETED,MYR,268.6,0,15.6,7,TIK-CAMP005,TIK-INFL019,MALAYSIA
TIK-ORD00000036,TIKC00000058,2025-07-07 12:57:07,2025-08-18 21:02:22,PENDING,MYR,1860.2,12,106.2,28,,,MALAYSIA
TIK-ORD00000037,TIKC00000022,2024-12-30 11:34:59,2025-07-20 09:35:30,COMPLETED,MYR,1748.2,0,100.2,22,,,MALAYSIA
TIK-ORD00000038,TIKC00000034,2025-06-30 12:16:48,2025-07-19 15:24:18,SHIPPED,MYR,1032.8,0,58.8,6,TIK-CAMP002,,MALAYSIA
TIK-ORD00000039,TIKC00000035,2025-07-20 07:18:26,2025-08-10 05:48:18,COMPLETED,MYR,825.8,0,46.8,1,,,MALAYSIA
TIK-ORD00000040,TIKC00000050,2024-10-31 02:20:57,2025-07-16 01:29:35,COMPLETED,MYR,380.6,0,21.6,1,TIK-CAMP002,,MALAYSIA
TIK-ORD00000041,TIKC00000023,2025-03-28 10:19:09,2025-07-27 10:26:01,CANCELLED,MYR,715.8,0,40.8,5,,TIK-INFL007,MALAYSIA
TIK-ORD00000042,TIKC00000057,2025-03-01 15:51:19,2025-07-08 11:27:53,CANCELLED,MYR,204.0,0,12.0,8,,TIK-INFL010,MALAYSIA
