product_id,sku,name,category,brand,cost,price,currency,updated_at
SHP-PROD0001,SHP-SKU0080,Adidas LightMotion Sneakers,Shoes,Adidas,240,260,MYR,2023-11-24 16:56:45
SHP-PROD0002,SHP-SKU0038,Gap SlimCore Jeans,Bottoms,Gap,120,160,MYR,2023-11-24 16:56:45
SHP-PROD0003,SHP-SKU0066,New Balance AirMax Sandals,Shoes,New Balance,230,260,MYR,2023-11-24 16:56:45
SHP-PROD0004,SHP-SKU0055,Adidas SkinFit Sports Bra,Activewear,Adidas,80,90,MYR,2023-11-24 16:56:45
SHP-PROD0005,SHP-SKU0016,Ann Taylor Contemporary Mini Dress,Dresses,Ann Taylor,220,260,MYR,2023-11-24 16:56:45
SHP-PROD0006,SHP-SKU0021,Patagonia Lightweight Coat,Outerwear,Patagonia,120,170,MYR,2023-11-24 16:56:45
SHP-PROD0007,SHP-SKU0100,Levi's ProStretch Trousers,Bottoms,Levi's,120,170,MYR,2023-11-24 16:56:45
SHP-PROD0008,SHP-SKU0026,Under Armour AeroCool Track Jacket,Activewear,Under Armour,230,270,MYR,2023-11-24 16:56:45
SHP-PROD0009,SHP-SKU0057,Lululemon RapidDry Track Jacket,Activewear,Lululemon,80,100,MYR,2023-11-24 16:56:45
SHP-PROD0010,SHP-SKU0018,New Balance SpeedTech Slip-Ons,Shoes,New Balance,160,200,MYR,2023-11-24 16:56:45
SHP-PROD0011,SHP-SKU0060,Dockers EnduraFit Skirt,Bottoms,Dockers,130,150,MYR,2023-11-24 16:56:45
SHP-PROD0012,SHP-SKU0094,Guess Contemporary Dress,Dresses,Guess,260,270,MYR,2023-11-24 16:56:45
SHP-PROD0013,SHP-SKU0088,Puma RapidDry Track Jacket,Activewear,Puma,220,280,MYR,2023-11-24 16:56:45
SHP-PROD0014,SHP-SKU0067,Adidas LightMotion Sandals,Shoes,Adidas,250,290,MYR,2023-11-24 16:56:45
SHP-PROD0015,SHP-SKU0056,Calvin Klein SmoothFit T-Shirt,Tops,Calvin Klein,110,170,MYR,2023-11-24 16:56:45
SHP-PROD0016,SHP-SKU0074,Reebok Dri-FIT T-Shirt,Tops,Reebok,220,240,MYR,2023-11-24 16:56:45
SHP-PROD0017,SHP-SKU0040,Adidas Oversized Shirt,Tops,Adidas,50,110,MYR,2023-11-24 16:56:45
SHP-PROD0018,SHP-SKU0031,The North Face UtilityStyle Hoodie,Outerwear,The North Face,220,270,MYR,2023-11-24 16:56:45
SHP-PROD0019,SHP-SKU0017,American Eagle EnduraFit Cargo Pants,Bottoms,American Eagle,50,60,MYR,2023-11-24 16:56:45
SHP-PROD0020,SHP-SKU0050,Skechers GlideStep Sandals,Shoes,Skechers,130,180,MYR,2023-11-24 16:56:45
SHP-PROD0021,SHP-SKU0061,Gap FlexLite Skirt,Bottoms,Gap,60,90,MYR,2023-11-24 16:56:45
SHP-PROD0022,SHP-SKU0054,Puma CoolTouch T-Shirt,Tops,Puma,80,130,MYR,2023-11-24 16:56:45
SHP-PROD0023,SHP-SKU0084,Marmot Lightweight Sweater,Outerwear,Marmot,220,260,MYR,2023-11-24 16:56:45
SHP-PROD0024,SHP-SKU0024,Calvin Klein SlimCore Sweatshirt,Tops,Calvin Klein,50,70,MYR,2023-11-24 16:56:45
SHP-PROD0025,SHP-SKU0089,The North Face Oversized Hoodie,Outerwear,The North Face,50,80,MYR,2023-11-24 16:56:45
SHP-PROD0026,SHP-SKU0010,Vans GripLock Boots,Shoes,Vans,150,180,MYR,2023-11-24 16:56:45
SHP-PROD0027,SHP-SKU0019,Champion HeatGear Athletic Tee,Activewear,Champion,250,310,MYR,2023-11-24 16:56:45
SHP-PROD0028,SHP-SKU0083,Calvin Klein UtilityStyle Jacket,Outerwear,Calvin Klein,170,180,MYR,2023-11-24 16:56:45
SHP-PROD0029,SHP-SKU0075,Columbia StormProof Hoodie,Outerwear,Columbia,240,300,MYR,2023-11-24 16:56:45
SHP-PROD0030,SHP-SKU0090,Calvin Klein Quilted Jacket,Outerwear,Calvin Klein,120,160,MYR,2023-11-24 16:56:45
SHP-PROD0031,SHP-SKU0059,Old Navy MotionFlex Trousers,Bottoms,Old Navy,70,110,MYR,2023-11-24 16:56:45
SHP-PROD0032,SHP-SKU0099,Patagonia Padded Cardigan,Outerwear,Patagonia,240,280,MYR,2023-11-24 16:56:45
SHP-PROD0033,SHP-SKU0049,Champion Seamless Athletic Tee,Activewear,Champion,80,110,MYR,2023-11-24 16:56:45
SHP-PROD0034,SHP-SKU0077,Under Armour MaxSpeed Sports Bra,Activewear,Under Armour,80,120,MYR,2023-11-24 16:56:45
SHP-PROD0035,SHP-SKU0058,Gap SlimCore Chinos,Bottoms,Gap,140,180,MYR,2023-11-24 16:56:45
SHP-PROD0036,SHP-SKU0091,Patagonia Lightweight Parka,Outerwear,Patagonia,50,80,MYR,2023-11-24 16:56:45
SHP-PROD0037,SHP-SKU0076,Nike Dri-FIT Sweatshirt,Tops,Nike,90,150,MYR,2023-11-24 16:56:45
SHP-PROD0038,SHP-SKU0087,Ann Taylor Floral Mini Dress,Dresses,Ann Taylor,90,130,MYR,2023-11-24 16:56:45
SHP-PROD0039,SHP-SKU0064,Marmot UtilityStyle Sweater,Outerwear,Marmot,160,210,MYR,2023-11-24 16:56:45
SHP-PROD0040,SHP-SKU0025,Tommy Hilfiger TrueShape Blouse,Tops,Tommy Hilfiger,210,230,MYR,2023-11-24 16:56:45
