receipt_id,store_id,terminal_id,cashier_id,sold_at,status,customer_id,currency,subtotal,discount_total,tax_total,shipping_fee,grand_total
REC00000001,POS001,TERM002,CASH003,2025-06-01 21:20:30,COMPLETED,POSC00000012,MYR,1320,24,79.2,0,1375.2
REC00000002,POS001,TERM001,CASH002,2025-08-21 10:27:16,COMPLETED,POSC00000066,MYR,820,9,49.2,0,860.2
REC00000003,POS002,TERM003,CASH001,2025-08-27 15:07:02,COMPLETED,POSC00000028,MYR,1390,16,83.4,0,1457.4
REC00000004,POS001,TERM001,CASH001,2025-08-28 15:42:15,COMPLETED,POSC00000081,MYR,2290,24,137.4,0,2403.4
REC00000005,POS003,TERM004,CASH002,2025-04-07 08:03:39,COMPLETED,POSC00000065,MYR,1600,19,96.0,0,1677.0
REC00000006,POS001,TERM001,CASH002,2025-01-31 10:24:19,COMPLETED,POSC00000027,MYR,1640,29,98.4,0,1709.4
REC00000007,POS002,TERM003,CASH002,2025-07-11 09:23:34,COMPLETED,POSC00000036,MYR,750,12,45.0,0,783.0
REC00000008,POS002,TERM003,CASH003,2024-02-16 22:24:17,CANCELLED,POSC00000048,MYR,1520,11,91.2,0,1600.2
REC00000009,POS003,TERM004,CASH003,2025-08-25 15:49:27,COMPLETED,POSC00000056,MYR,890,16,53.4,0,927.4
REC00000010,POS001,TERM001,CASH001,2025-06-23 06:43:41,COMPLETED,POSC00000095,MYR,180,7,10.8,0,183.8
REC00000011,POS001,TERM002,CASH002,2025-06-25 05:09:01,COMPLETED,POSC00000004,MYR,260,6,15.6,0,269.6
REC00000012,POS003,TERM004,CASH003,2025-07-02 09:37:49,COMPLETED,POSC00000052,MYR,390,11,23.4,0,402.4
REC00000013,POS002,TERM003,CASH003,2025-06-17 05:56:25,COMPLETED,POSC00000100,MYR,410,0,24.6,0,434.6
REC00000014,POS001,TERM001,CASH001,2025-08-24 00:18:26,COMPLETED,POSC00000080,MYR,1340,26,80.4,0,1394.4
REC00000015,POS002,TERM003,CASH002,2025-07-19 13:11:04,COMPLETED,POSC00000065,MYR,1710,17,102.6,0,1795.6
REC00000016,POS001,TERM001,CASH001,2025-04-30 19:58:37,COMPLETED,POSC00000046,MYR,1400,21,84.0,0,1463.0
REC00000017,POS002,TERM003,CASH003,2025-06-24 18:42:42,COMPLETED,POSC00000026,MYR,1760,22,105.6,0,1843.6
REC00000018,POS001,TERM002,CASH003,2025-08-29 00:10:53,COMPLETED,POSC00000067,MYR,900,12,54.0,0,942.0
REC00000019,POS002,TERM003,CASH003,2025-08-25 12:22:36,COMPLETED,POSC00000066,MYR,360,5,21.6,0,376.6
REC00000020,POS001,TERM002,CASH001,2025-06-30 15:27:18,COMPLETED,POSC00000084,MYR,1470,13,88.2,0,1545.2
REC00000021,POS001,TERM001,CASH001,2025-04-17 11:39:44,COMPLETED,POSC00000003,MYR,1870,22,112.2,0,1960.2
REC00000022,POS001,TERM001,CASH001,2024-05-15 05:56:17,COMPLETED,POSC00000005,MYR,900,9,54.0,0,945.0
REC00000023,POS001,TERM001,CASH002,2025-04-19 12:18:05,COMPLETED,POSC00000073,MYR,270,6,16.2,0,280.2
REC00000024,POS001,TERM002,CASH003,2024-09-21 02:25:20,COMPLETED,POSC00000061,MYR,2380,13,142.8,0,2509.8
REC00000025,POS003,TERM004,CASH003,2025-07-18 14:03:21,COMPLETED,POSC00000003,MYR,1260,10,75.6,0,1325.6
REC00000026,POS001,TERM002,CASH002,2024-12-01 15:31:34,COMPLETED,POSC00000059,MYR,1420,3,85.2,0,1502.2
REC00000027,POS002,TERM003,CASH001,2024-06-10 03:19:58,COMPLETED,POSC00000020,MYR,270,5,16.2,0,281.2
REC00000028,POS003,TERM004,CASH003,2024-09-22 02:30:19,COMPLETED,POSC00000006,MYR,1710,16,102.6,0,1796.6
REC00000029,POS002,TERM003,CASH003,2024-08-01 03:23:13,COMPLETED,POSC00000074,MYR,1090,15,65.4,0,1140.4
REC00000030,POS001,TERM001,CASH002,2025-03-03 20:18:02,COMPLETED,POSC00000073,MYR,2150,35,129.0,0,2244.0
REC00000031,POS001,TERM002,CASH001,2024-09-11 23:48:30,REFUNDED,POSC00000031,MYR,640,4,38.4,0,674.4
REC00000032,POS001,TERM002,CASH002,2024-05-30 02:43:38,COMPLETED,POSC00000018,MYR,180,1,10.8,0,189.8
REC00000033,POS001,TERM001,CASH002,2024-11-05 01:22:43,COMPLETED,POSC00000086,MYR,1640,18,98.4,0,1720.4
REC00000034,POS001,TERM002,CASH002,2024-12-09 01:52:46,COMPLETED,POSC00000017,MYR,260,12,15.6,0,263.6
REC00000035,POS001,TERM001,CASH001,2025-01-04 04:17:15,COMPLETED,POSC00000069,MYR,1060,11,63.6,0,1112.6
REC00000036,POS002,TERM003,CASH002,2025-08-18 06:54:25,CANCELLED,POSC00000023,MYR,920,17,55.2,0,958.2
REC00000037,POS001,TERM001,CASH001,2025-08-09 21:52:03,COMPLETED,POSC00000008,MYR,1970,17,118.2,6,2077.2
REC00000038,POS001,TERM002,CASH002,2024-12-02 18:31:33,COMPLETED,POSC00000095,MYR,660,11,39.6,0,688.6
REC00000039,POS001,TERM002,CASH002,2025-07-08 01:29:59,COMPLETED,POSC00000090,MYR,580,3,34.8,0,611.8
REC00000040,POS001,TERM001,CASH002,2025-06-07 01:58:04,COMPLETED,POSC00000042,MYR,1180,21,70.8,0,1229.8
REC00000041,POS001,TERM002,CASH003,2025-01-17 23:26:54,COMPLETED,POSC00000059,MYR,1050,13,63.0,0,1100.0
REC00000042,POS001,TERM001,CASH001,2025-03-21 23:03:54,COMPLETED,POSC00000049,MYR,540,8,32.4,0,564.4
REC00000043,POS001,TERM002,CASH001,2025-03-16 05:03:14,COMPLETED,POSC00000062,MYR,2030,8,121.8,0,2143.8
REC00000044,POS001,TERM001,CASH002,2025-01-01 00:06:04,COMPLETED,POSC00000094,MYR,1210,11,72.6,0,1271.6
REC00000045,POS001,TERM002,CASH001,2025-01-19 00:54:20,COMPLETED,POSC00000014,MYR,1080,13,64.8,0,1131.8
REC00000046,POS003,TERM004,CASH003,2024-03-14 09:47:57,COMPLETED,POSC00000056,MYR,1660,18,99.6,0,1741.6
REC00000047,POS001,TERM001,CASH003,2025-06-29 16:13:37,COMPLETED,POSC00000078,MYR,2050,21,123.0,0,2152.0
REC00000048,POS003,TERM004,CASH003,2024-11-27 17:53:27,COMPLETED,POSC00000085,MYR,850,9,51.0,0,892.0
