order_id,item_id,product_id,product_name,category,sku,qty,price,discount,shipping_fee,tax,updated_at
TIK-ORD00000001,TIK-ITEM00000001,TIK-PROD0038,Old Navy CoreFlex Skirt,Bottoms,TIK-SKU0082,3,140,7,0,25.2,2025-01-21 23:47:26
TIK-ORD00000001,TIK-ITEM00000002,TIK-PROD0021,Adidas CoolTouch Shirt,Tops,TIK-SKU0054,3,130,3,0,23.4,2024-12-08 11:19:37
TIK-ORD00000001,TIK-ITEM00000003,TIK-PROD0016,Under Armour SkinFit Leggings,Activewear,TIK-SKU0047,1,80,2,0,4.8,2024-11-17 12:05:24
TIK-ORD00000002,TIK-ITEM00000004,TIK-PROD0012,New Balance FreshFoam Sneakers,Shoes,TIK-SKU0027,1,220,2,0,13.2,2024-09-21 17:39:43
TIK-ORD00000002,TIK-ITEM00000005,TIK-PROD0033,Converse AirMax Sneakers,Shoes,TIK-SKU0066,2,260,3,0,31.2,2024-12-18 01:40:28
TIK-ORD00000002,TIK-ITEM00000006,TIK-PROD0003,Nike BounceFlex Track Jacket,Activewear,TIK-SKU0086,3,160,2,0,28.8,2024-10-06 13:26:41
TIK-ORD00000002,TIK-ITEM00000007,TIK-PROD0004,Marmot Lightweight Cardigan,Outerwear,TIK-SKU0084,2,260,5,0,31.2,2024-10-23 11:34:55
TIK-ORD00000002,TIK-ITEM00000008,TIK-PROD0050,Lee MotionFlex Shorts,Bottoms,TIK-SKU0035,3,200,8,0,36.0,2024-07-28 15:59:12
TIK-ORD00000003,TIK-ITEM00000009,TIK-PROD0019,Wrangler High-Rise Shorts,Bottoms,TIK-SKU0014,1,160,3,0,9.6,2025-03-06 09:00:02
TIK-ORD00000003,TIK-ITEM00000010,TIK-PROD0043,Reebok AirFlow Shirt,Tops,TIK-SKU0005,3,200,3,0,36.0,2024-12-20 01:20:19
TIK-ORD00000003,TIK-ITEM00000011,TIK-PROD0036,Ann Taylor Floral Midi Dress,Dresses,TIK-SKU0087,3,130,6,0,23.4,2025-01-01 18:23:36
TIK-ORD00000004,TIK-ITEM00000012,TIK-PROD0050,Lee MotionFlex Shorts,Bottoms,TIK-SKU0035,1,200,4,0,12.0,2025-07-29 00:02:37
TIK-ORD00000004,TIK-ITEM00000013,TIK-PROD0002,Nike PowerMesh Track Jacket,Activewear,TIK-SKU0029,2,50,0,1,6.0,2025-08-06 08:12:05
TIK-ORD00000004,TIK-ITEM00000014,TIK-PROD0014,Nike Ultraboost Running Shoes,Shoes,TIK-SKU0013,2,80,9,0,9.6,2025-08-14 02:29:59
TIK-ORD00000005,TIK-ITEM00000015,TIK-PROD0032,The North Face Quilted Cardigan,Outerwear,TIK-SKU0034,2,130,3,0,15.6,2025-04-24 06:04:30
TIK-ORD00000006,TIK-ITEM00000016,TIK-PROD0001,Under Armour Seamless Yoga Pants,Activewear,TIK-SKU0049,3,110,2,0,19.8,2025-07-20 05:51:40
TIK-ORD00000006,TIK-ITEM00000017,TIK-PROD0039,Adidas RapidDry Running Shorts,Activewear,TIK-SKU0088,2,280,4,0,33.6,2025-08-23 05:51:43
TIK-ORD00000006,TIK-ITEM00000018,TIK-PROD0030,Champion MotionWeave Sports Bra,Activewear,TIK-SKU0078,3,290,8,0,52.2,2025-08-04 00:21:48
