receipt_id,line_id,product_id,product_name,category,sku,qty,unit_price,line_discount,line_tax
REC00000001,LINE00000001,POS-PROD0010,Patagonia Oversized Jacket,Outerwear,POS-SKU0089,2,80,7,9.6
REC00000001,LINE00000002,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,1,140,0,8.4
REC00000001,LINE00000003,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,3,100,2,18.0
REC00000001,LINE00000004,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,1,180,7,10.8
REC00000001,LINE00000005,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,2,270,8,32.4
REC00000002,LINE00000006,POS-PROD0001,Calvin Klein Padded Coat,Outerwear,POS-SKU0099,1,280,0,16.8
REC00000002,LINE00000007,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,2,270,9,32.4
REC00000003,LINE00000008,POS-PROD0019,Old Navy CoreFlex Skirt,Bottoms,POS-SKU0082,2,140,9,16.8
REC00000003,LINE00000009,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,3,100,6,18.0
REC00000003,LINE00000010,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,3,270,1,48.6
REC00000004,LINE00000011,POS-PROD0008,Tommy Hilfiger SkinFit Blouse,Tops,POS-SKU0095,3,280,8,50.4
REC00000004,LINE00000012,POS-PROD0009,New Balance Slip-On Sandals,Shoes,POS-SKU0011,1,290,1,17.4
REC00000004,LINE00000013,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,2,130,7,15.6
REC00000004,LINE00000014,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,3,300,8,54.0
REC00000005,LINE00000015,POS-PROD0016,Nike PowerMesh Running Shorts,Activewear,POS-SKU0043,2,100,7,12.0
REC00000005,LINE00000016,POS-PROD0007,Adidas Cropped T-Shirt,Tops,POS-SKU0052,2,130,4,15.6
REC00000005,LINE00000017,POS-PROD0014,Old Navy SlimCore Cargo Pants,Bottoms,POS-SKU0073,3,150,0,27.0
REC00000005,LINE00000018,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,3,50,0,9.0
REC00000005,LINE00000019,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,2,270,8,32.4
REC00000006,LINE00000020,POS-PROD0015,Tommy Hilfiger StormProof Jacket,Outerwear,POS-SKU0075,1,300,5,18.0
REC00000006,LINE00000021,POS-PROD0005,Ralph Lauren Contemporary Shift Dress,Dresses,POS-SKU0094,3,270,7,48.6
REC00000006,LINE00000022,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,1,180,9,10.8
REC00000006,LINE00000023,POS-PROD0004,The North Face UtilityStyle Coat,Outerwear,POS-SKU0062,1,50,0,3.0
REC00000006,LINE00000024,POS-PROD0018,Converse GlideStep Sneakers,Shoes,POS-SKU0015,3,100,8,18.0
REC00000007,LINE00000025,POS-PROD0006,Calvin Klein Layered Midi Dress,Dresses,POS-SKU0085,1,270,2,16.2
REC00000007,LINE00000026,POS-PROD0013,Lululemon RapidDry Running Shorts,Activewear,POS-SKU0057,3,100,5,18.0
REC00000007,LINE00000027,POS-PROD0020,Old Navy EnduraFit Trousers,Bottoms,POS-SKU0012,1,180,5,10.8
