ProductID,ProductName,Category,Price,Description,Available Color
FA-0001-00,Breathable Blazer,Blazer,131.42,Breathable blazer crafted from cotton blend with easy-care finish.,"['Cream', 'Beige']"
FA-0002-00,High-Rise Windbreaker,Windbreaker,71.17,High-rise windbreaker crafted from rib knit with easy-care finish.,['Emerald']
FA-0003-00,Signature Loungewear,Loungewear,69.66,Signature loungewear crafted from performance mesh with easy-care finish.,"['Maroon', 'Terracotta', 'Burgundy', 'Charcoal']"
FA-0004-00,Breathable Sports Bra,Sports Bra,47.8,Breathable sports bra crafted from poplin with easy-care finish.,"['Olive', 'Tan', 'Mustard']"
FA-0005-00,Textured Yoga Pants,Yoga Pants,57.13,Textured yoga pants crafted from recycled polyester with adjustable waistband.,"['Teal', 'Ivory', 'Coral']"
FA-0006-00,Textured Coat,Coat,119.13,Textured coat crafted from recycled polyester with machine washable.,['Lavender']
FA-0007-00,Moisture-Wicking Jeans,Jeans,69.85,Moisture-wicking jeans crafted from performance mesh with breathable panels.,"['Lavender', 'Lilac']"
FA-0008-00,Organic Chinos,Chinos,66.2,Organic chinos crafted from bamboo viscose with snap front.,"['Brown', 'Ivory', 'Rose', 'Sand']"
FA-0009-00,Textured Athletic Tee,Athletic Tee,31.05,Textured athletic tee crafted from tech knit with buttery-soft feel.,['Pearl']
FA-0010-00,Ribbed Vest,Vest,61.26,Ribbed vest crafted from rib knit with drawstring waist.,"['Forest Green', 'Blush', 'Terracotta']"
FA-0011-00,Signature Henley,Henley,22.14,Signature henley crafted from corduroy with sustainably sourced materials.,"['Rust', 'Pearl']"
FA-0012-00,Moisture-Wicking Mini Dress,Mini Dress,93.31,Moisture-wicking mini dress crafted from bamboo viscose with odor control.,['Denim Blue']
FA-0013-00,Cropped Puffer Jacket,Puffer Jacket,106.87,Cropped puffer jacket crafted from poplin with odor control.,"['White', 'Gray', 'Terracotta', 'Mustard']"
FA-0014-00,Premium Cardigan,Cardigan,81.12,Premium cardigan crafted from rib knit with four-way stretch.,"['Beige', 'Cobalt']"
FA-0015-00,Relaxed Shorts,Shorts,67.67,Relaxed shorts crafted from tech knit with button front.,"['Sky Blue', 'Burgundy', 'Navy', 'Coral']"
FA-0016-00,Mid-Rise Wide-Leg Pants,Wide-Leg Pants,72.95,Mid-rise wide-leg pants crafted from twill with button front.,"['Mustard', 'Emerald', 'Blush']"
FA-0017-00,Athleisure T-Shirt,T-Shirt,29.13,Athleisure t-shirt crafted from denim with elastic cuffs.,"['Tan', 'White', 'Cream', 'Denim Blue']"
FA-0018-00,Everyday Mini Dress,Mini Dress,66.67,Everyday mini dress crafted from twill with wrinkle-resistant finish.,"['Khaki', 'Sky Blue', 'Olive', 'Sand']"
FA-0019-00,Lightweight Shorts,Shorts,70.33,Lightweight shorts crafted from twill with uv-protective finish.,"['Mustard', 'Terracotta', 'Cobalt']"
FA-0020-00,Lightweight Bomber Jacket,Bomber Jacket,98.01,Lightweight bomber jacket crafted from twill with hidden zip pocket.,"['Coral', 'Pearl']"
FA-0021-00,Oversized Pajamas,Pajamas,73.31,Oversized pajamas crafted from modal jersey with reinforced seams.,"['Olive', 'Mint', 'Maroon', 'Denim Blue']"
FA-0022-00,Tailored Pleated Skirt,Pleated Skirt,96.69,Tailored pleated skirt crafted from rib knit with brushed interior.,"['Mint', 'Rust', 'Cream']"
FA-0023-00,Modern Shorts,Shorts,70.02,Modern shorts crafted from organic cotton with four-way stretch.,"['Sand', 'Sky Blue']"
FA-0024-00,Slim-Fit Yoga Pants,Yoga Pants,39.6,Slim-fit yoga pants crafted from corduroy with breathable panels.,"['White', 'Pearl']"
FA-0025-00,Cropped Loungewear,Loungewear,52.25,Cropped loungewear crafted from 100% linen with elastic cuffs.,['Brown']
FA-0026-00,Premium Polo,Polo,30.87,Premium polo crafted from merino wool with easy-care finish.,['Beige']
FA-0027-00,Tailored Shirt,Shirt,37.44,Tailored shirt crafted from twill with adjustable waistband.,"['Sky Blue', 'Olive', 'Cobalt', 'Denim Blue']"
FA-0028-00,Thermal Pleated Skirt,Pleated Skirt,66.54,Thermal pleated skirt crafted from cashmere blend with four-way stretch.,"['Cream', 'Sand', 'Olive', 'Burgundy']"
FA-0029-00,Heritage Mini Dress,Mini Dress,88.58,Heritage mini dress crafted from corduroy with easy-care finish.,"['Mint', 'Coral']"
FA-0030-00,Recycled Running Shorts,Running Shorts,37.7,Recycled running shorts crafted from sateen with button front.,"['Navy', 'Forest Green', 'Sand']"
