movement_id,product_id,store_id,movement_type,qty_delta,reference_id,moved_at,note
IMV00000001,POS-PROD0006,POS002,Sale,-3.0,REC00000001,2025-08-28 07:28:15,Sold POS-PROD0006 via REC00000001
IMV00000002,POS-PROD0013,POS001,Sale,-1.0,REC00000002,2025-03-28 01:57:48,Sold POS-PROD0013 via REC00000002
IMV00000003,POS-PROD0003,POS001,Sale,-3.0,REC00000002,2025-03-28 01:57:48,Sold POS-PROD0003 via REC00000002
IMV00000004,POS-PROD0010,POS001,Sale,-1.0,REC00000002,2025-03-28 01:57:48,Sold POS-PROD0010 via REC00000002
IMV00000005,POS-PROD0002,POS002,Sale,-3.0,REC00000003,2025-07-29 01:31:55,Sold POS-PROD0002 via REC00000003
IMV00000006,POS-PROD0018,POS001,Stock In,95.0,PO0001,2025-07-29 16:05:55,New stock delivery for POS-PROD0018
IMV00000007,POS-PROD0014,POS002,Sale,-2.0,REC00000003,2025-07-29 01:31:55,Sold POS-PROD0014 via REC00000003
IMV00000008,POS-PROD0004,POS002,Sale,-3.0,REC00000003,2025-07-29 01:31:55,Sold POS-PROD0004 via REC00000003
IMV00000009,POS-PROD0010,POS002,Sale,-1.0,REC00000003,2025-07-29 01:31:55,Sold POS-PROD0010 via REC00000003
IMV00000010,POS-PROD0015,POS002,Sale,-2.0,REC00000003,2025-07-29 01:31:55,Sold POS-PROD0015 via REC00000003
IMV00000011,POS-PROD0009,POS002,Sale,-3.0,REC00000004,2025-06-17 19:14:10,Sold POS-PROD0009 via REC00000004
IMV00000012,POS-PROD0018,POS002,Stock In,40.0,PO0002,2025-06-18 10:43:10,New stock delivery for POS-PROD0018
IMV00000013,POS-PROD0018,POS002,Sale,-1.0,REC00000004,2025-06-17 19:14:10,Sold POS-PROD0018 via REC00000004
IMV00000014,POS-PROD0001,POS001,Stock In,70.0,PO0003,2025-06-18 07:00:10,New stock delivery for POS-PROD0001
IMV00000015,POS-PROD0008,POS002,Sale,-2.0,REC00000004,2025-06-17 19:14:10,Sold POS-PROD0008 via REC00000004
IMV00000016,POS-PROD0011,POS002,Sale,-3.0,REC00000004,2025-06-17 19:14:10,Sold POS-PROD0011 via REC00000004
IMV00000017,POS-PROD0004,POS001,Stock In,65.0,PO0004,2025-06-17 22:42:10,New stock delivery for POS-PROD0004
IMV00000018,POS-PROD0004,POS002,Sale,-1.0,REC00000005,2025-05-19 07:55:28,Sold POS-PROD0004 via REC00000005
IMV00000019,POS-PROD0015,POS002,Sale,-3.0,REC00000005,2025-05-19 07:55:28,Sold POS-PROD0015 via REC00000005
IMV00000020,POS-PROD0013,POS002,Sale,-3.0,REC00000005,2025-05-19 07:55:28,Sold POS-PROD0013 via REC00000005
IMV00000021,POS-PROD0012,POS002,Sale,-3.0,REC00000006,2025-07-20 17:44:33,Sold POS-PROD0012 via REC00000006
IMV00000022,POS-PROD0013,POS002,Sale,-2.0,REC00000006,2025-07-20 17:44:33,Sold POS-PROD0013 via REC00000006
IMV00000023,POS-PROD0011,POS002,Sale,-2.0,REC00000007,2025-08-01 17:24:20,Sold POS-PROD0011 via REC00000007
IMV00000024,POS-PROD0003,POS003,Return,2.0,RTN0001,2025-08-02 15:01:20,Customer return POS-PROD0003
IMV00000025,POS-PROD0011,POS001,Sale,-2.0,REC00000008,2025-02-21 17:52:09,Sold POS-PROD0011 via REC00000008
IMV00000026,POS-PROD0019,POS001,Stock In,15.0,PO0005,2025-02-21 19:35:09,New stock delivery for POS-PROD0019
IMV00000027,POS-PROD0017,POS001,Sale,-1.0,REC00000008,2025-02-21 17:52:09,Sold POS-PROD0017 via REC00000008
IMV00000028,POS-PROD0003,POS001,Stock In,20.0,PO0006,2025-02-22 07:00:09,New stock delivery for POS-PROD0003
IMV00000029,POS-PROD0013,POS001,Sale,-2.0,REC00000008,2025-02-21 17:52:09,Sold POS-PROD0013 via REC00000008
IMV00000030,POS-PROD0009,POS001,Sale,-3.0,REC00000008,2025-02-21 17:52:09,Sold POS-PROD0009 via REC00000008
IMV00000031,POS-PROD0016,POS001,Sale,-1.0,REC00000008,2025-02-21 17:52:09,Sold POS-PROD0016 via REC00000008
IMV00000032,POS-PROD0008,POS003,Sale,-3.0,REC00000009,2025-05-16 23:43:11,Sold POS-PROD0008 via REC00000009
IMV00000033,POS-PROD0012,POS003,Sale,-3.0,REC00000009,2025-05-16 23:43:11,Sold POS-PROD0012 via REC00000009
IMV00000034,POS-PROD0018,POS003,Sale,-3.0,REC00000009,2025-05-16 23:43:11,Sold POS-PROD0018 via REC00000009
IMV00000035,POS-PROD0003,POS003,Return,3.0,RTN0002,2025-05-17 05:43:11,Customer return POS-PROD0003
IMV00000036,POS-PROD0017,POS003,Sale,-3.0,REC00000009,2025-05-16 23:43:11,Sold POS-PROD0017 via REC00000009
IMV00000037,POS-PROD0013,POS001,Sale,-1.0,REC00000010,2025-08-05 15:06:44,Sold POS-PROD0013 via REC00000010
IMV00000038,POS-PROD0015,POS001,Sale,-3.0,REC00000010,2025-08-05 15:06:44,Sold POS-PROD0015 via REC00000010
IMV00000039,POS-PROD0012,POS001,Sale,-3.0,REC00000010,2025-08-05 15:06:44,Sold POS-PROD0012 via REC00000010
IMV00000040,POS-PROD0018,POS001,Return,3.0,RTN0003,2025-08-06 02:20:44,Customer return POS-PROD0018
IMV00000041,POS-PROD0002,POS001,Stock In,10.0,PO0007,2025-08-06 13:16:44,New stock delivery for POS-PROD0002
IMV00000042,POS-PROD0019,POS001,Sale,-3.0,REC00000010,2025-08-05 15:06:44,Sold POS-PROD0019 via REC00000010
IMV00000043,POS-PROD0020,POS001,Sale,-2.0,REC00000010,2025-08-05 15:06:44,Sold POS-PROD0020 via REC00000010
IMV00000044,POS-PROD0019,POS003,Return,2.0,RTN0004,2025-08-05 22:31:44,Customer return POS-PROD0019
IMV00000045,POS-PROD0018,POS001,Sale,-2.0,REC00000011,2025-08-04 04:17:06,Sold POS-PROD0018 via REC00000011
IMV00000046,POS-PROD0005,POS001,Sale,-3.0,REC00000011,2025-08-04 04:17:06,Sold POS-PROD0005 via REC00000011
IMV00000047,POS-PROD0015,POS001,Return,2.0,RTN0005,2025-08-04 09:12:06,Customer return POS-PROD0015
IMV00000048,POS-PROD0006,POS001,Sale,-2.0,REC00000012,2025-08-13 18:30:18,Sold POS-PROD0006 via REC00000012
IMV00000049,POS-PROD0001,POS001,Sale,-2.0,REC00000012,2025-08-13 18:30:18,Sold POS-PROD0001 via REC00000012
IMV00000050,POS-PROD0013,POS001,Sale,-1.0,REC00000012,2025-08-13 18:30:18,Sold POS-PROD0013 via REC00000012
IMV00000051,POS-PROD0009,POS002,Sale,-3.0,REC00000013,2025-07-27 12:52:47,Sold POS-PROD0009 via REC00000013
IMV00000052,POS-PROD0013,POS002,Stock In,40.0,PO0008,2025-07-27 17:45:47,New stock delivery for POS-PROD0013
IMV00000053,POS-PROD0002,POS002,Sale,-3.0,REC00000013,2025-07-27 12:52:47,Sold POS-PROD0002 via REC00000013
IMV00000054,POS-PROD0017,POS001,Sale,-1.0,REC00000014,2025-07-03 04:35:42,Sold POS-PROD0017 via REC00000014
IMV00000055,POS-PROD0004,POS001,Sale,-1.0,REC00000015,2025-07-22 12:22:34,Sold POS-PROD0004 via REC00000015
IMV00000056,POS-PROD0011,POS001,Sale,-1.0,REC00000016,2025-03-05 02:55:50,Sold POS-PROD0011 via REC00000016
IMV00000057,POS-PROD0020,POS001,Sale,-2.0,REC00000016,2025-03-05 02:55:50,Sold POS-PROD0020 via REC00000016
IMV00000058,POS-PROD0014,POS003,Stock In,15.0,PO0009,2025-03-05 16:13:50,New stock delivery for POS-PROD0014
IMV00000059,POS-PROD0010,POS001,Sale,-2.0,REC00000016,2025-03-05 02:55:50,Sold POS-PROD0010 via REC00000016
IMV00000060,POS-PROD0017,POS002,Adjustment,3.0,ADJ0001,2025-03-05 03:28:50,Stock adjustment of POS-PROD0017
IMV00000061,POS-PROD0008,POS001,Sale,-2.0,REC00000016,2025-03-05 02:55:50,Sold POS-PROD0008 via REC00000016
IMV00000062,POS-PROD0013,POS001,Sale,-2.0,REC00000016,2025-03-05 02:55:50,Sold POS-PROD0013 via REC00000016
IMV00000063,POS-PROD0009,POS003,Stock In,55.0,PO0010,2025-03-05 06:53:50,New stock delivery for POS-PROD0009
IMV00000064,POS-PROD0009,POS002,Sale,-2.0,REC00000017,2025-06-15 02:47:36,Sold POS-PROD0009 via REC00000017
IMV00000065,POS-PROD0008,POS002,Sale,-3.0,REC00000017,2025-06-15 02:47:36,Sold POS-PROD0008 via REC00000017
IMV00000066,POS-PROD0020,POS002,Sale,-2.0,REC00000017,2025-06-15 02:47:36,Sold POS-PROD0020 via REC00000017
IMV00000067,POS-PROD0009,POS003,Stock In,30.0,PO0011,2025-06-15 20:16:36,New stock delivery for POS-PROD0009
IMV00000068,POS-PROD0010,POS003,Return,3.0,RTN0006,2025-06-16 17:13:36,Customer return POS-PROD0010
IMV00000069,POS-PROD0003,POS003,Sale,-3.0,REC00000018,2025-08-02 17:24:02,Sold POS-PROD0003 via REC00000018
IMV00000070,POS-PROD0012,POS003,Sale,-1.0,REC00000018,2025-08-02 17:24:02,Sold POS-PROD0012 via REC00000018
IMV00000071,POS-PROD0010,POS003,Sale,-1.0,REC00000018,2025-08-02 17:24:02,Sold POS-PROD0010 via REC00000018
IMV00000072,POS-PROD0017,POS001,Adjustment,4.0,ADJ0002,2025-08-03 04:37:02,Stock adjustment of POS-PROD0017
IMV00000073,POS-PROD0009,POS003,Sale,-1.0,REC00000018,2025-08-02 17:24:02,Sold POS-PROD0009 via REC00000018
IMV00000074,POS-PROD0013,POS003,Sale,-1.0,REC00000018,2025-08-02 17:24:02,Sold POS-PROD0013 via REC00000018
IMV00000075,POS-PROD0019,POS001,Sale,-1.0,REC00000019,2025-07-29 10:27:00,Sold POS-PROD0019 via REC00000019
IMV00000076,POS-PROD0010,POS001,Adjustment,-5.0,ADJ0003,2025-07-29 18:50:00,Stock adjustment of POS-PROD0010
IMV00000077,POS-PROD0003,POS001,Stock In,80.0,PO0012,2025-07-29 21:21:00,New stock delivery for POS-PROD0003
IMV00000078,POS-PROD0018,POS001,Adjustment,-3.0,ADJ0004,2025-07-30 20:02:00,Stock adjustment of POS-PROD0018
IMV00000079,POS-PROD0010,POS001,Sale,-3.0,REC00000019,2025-07-29 10:27:00,Sold POS-PROD0010 via REC00000019
IMV00000080,POS-PROD0020,POS001,Sale,-1.0,REC00000019,2025-07-29 10:27:00,Sold POS-PROD0020 via REC00000019
IMV00000081,POS-PROD0018,POS001,Sale,-2.0,REC00000019,2025-07-29 10:27:00,Sold POS-PROD0018 via REC00000019
IMV00000082,POS-PROD0014,POS001,Stock In,90.0,PO0013,2025-07-30 10:09:00,New stock delivery for POS-PROD0014
IMV00000083,POS-PROD0016,POS001,Sale,-2.0,REC00000019,2025-07-29 10:27:00,Sold POS-PROD0016 via REC00000019
IMV00000084,POS-PROD0015,POS003,Sale,-2.0,REC00000020,2025-03-31 19:00:02,Sold POS-PROD0015 via REC00000020
IMV00000085,POS-PROD0012,POS002,Adjustment,3.0,ADJ0005,2025-04-01 10:34:02,Stock adjustment of POS-PROD0012
IMV00000086,POS-PROD0002,POS003,Sale,-3.0,REC00000020,2025-03-31 19:00:02,Sold POS-PROD0002 via REC00000020
IMV00000087,POS-PROD0001,POS003,Sale,-2.0,REC00000020,2025-03-31 19:00:02,Sold POS-PROD0001 via REC00000020
IMV00000088,POS-PROD0017,POS003,Sale,-2.0,REC00000020,2025-03-31 19:00:02,Sold POS-PROD0017 via REC00000020
IMV00000089,POS-PROD0011,POS003,Sale,-3.0,REC00000021,2025-02-04 04:45:26,Sold POS-PROD0011 via REC00000021
